timestamp,pair,signal,entry_tag,exit_tag
1672531200000,ETH/USDT,0,,
1672545600000,ETH/USDT,0,,
1672560000000,ETH/USDT,0,,
1672574400000,ETH/USDT,0,,
1672588800000,ETH/USDT,0,,
1672603200000,ETH/USDT,0,,
1672617600000,ETH/USDT,0,,
1672632000000,ETH/USDT,1,swing_long,
1672646400000,ETH/USDT,0,,
1672660800000,ETH/USDT,0,,
1672675200000,ETH/USDT,-1,,tp3_hit
1672689600000,ETH/USDT,0,,
1672704000000,ETH/USDT,0,,
1672718400000,ETH/USDT,0,,
1672732800000,ETH/USDT,0,,
1672747200000,ETH/USDT,0,,
1672761600000,ETH/USDT,0,,
1672776000000,ETH/USDT,0,,
1672790400000,ETH/USDT,0,,
1672804800000,ETH/USDT,0,,
1672819200000,ETH/USDT,0,,
1672833600000,ETH/USDT,0,,
1672848000000,ETH/USDT,0,,
1672862400000,ETH/USDT,1,news_impulse,
1672876800000,ETH/USDT,0,,
1672891200000,ETH/USDT,0,,
1672905600000,ETH/USDT,0,,
1672920000000,ETH/USDT,0,,
1672934400000,ETH/USDT,0,,
1672948800000,ETH/USDT,0,,
1672963200000,ETH/USDT,0,,
1672977600000,ETH/USDT,0,,
1672992000000,ETH/USDT,-1,,sl_hit
1673006400000,ETH/USDT,0,,
1673020800000,ETH/USDT,0,,
1673035200000,ETH/USDT,0,,
1673049600000,ETH/USDT,0,,
1673064000000,ETH/USDT,0,,
1673078400000,ETH/USDT,0,,
1673092800000,ETH/USDT,0,,
1673107200000,ETH/USDT,1,liquidity_grab,
1673121600000,ETH/USDT,0,,
1673136000000,ETH/USDT,0,,
1673150400000,ETH/USDT,0,,
1673164800000,ETH/USDT,0,,
1673179200000,ETH/USDT,0,,
1673193600000,ETH/USDT,0,,
1673208000000,ETH/USDT,0,,
1673222400000,ETH/USDT,0,,
1673236800000,ETH/USDT,-1,,tp1_hit
1673251200000,ETH/USDT,0,,
1673265600000,ETH/USDT,0,,
1673280000000,ETH/USDT,0,,
1673294400000,ETH/USDT,0,,
1673308800000,ETH/USDT,0,,
1673323200000,ETH/USDT,0,,
1673337600000,ETH/USDT,0,,
1673352000000,ETH/USDT,0,,
1673366400000,ETH/USDT,0,,
1673380800000,ETH/USDT,0,,
1673395200000,ETH/USDT,0,,
1673409600000,ETH/USDT,0,,
1673424000000,ETH/USDT,0,,
1673438400000,ETH/USDT,0,,
1673452800000,ETH/USDT,0,,
1673467200000,ETH/USDT,0,,
1673481600000,ETH/USDT,0,,
1673496000000,ETH/USDT,0,,
1673510400000,ETH/USDT,0,,
1673524800000,ETH/USDT,0,,
1673539200000,ETH/USDT,0,,
1673553600000,ETH/USDT,0,,
1673568000000,ETH/USDT,0,,
1673582400000,ETH/USDT,0,,
1673596800000,ETH/USDT,0,,
1673611200000,ETH/USDT,0,,
1673625600000,ETH/USDT,0,,
1673640000000,ETH/USDT,0,,
1673654400000,ETH/USDT,0,,
1673668800000,ETH/USDT,0,,
1673683200000,ETH/USDT,0,,
1673697600000,ETH/USDT,0,,
1673712000000,ETH/USDT,0,,
1673726400000,ETH/USDT,0,,
1673740800000,ETH/USDT,0,,
1673755200000,ETH/USDT,0,,
1673769600000,ETH/USDT,1,liquidity_grab,
1673784000000,ETH/USDT,0,,
1673798400000,ETH/USDT,0,,
1673812800000,ETH/USDT,0,,
1673827200000,ETH/USDT,0,,
1673841600000,ETH/USDT,0,,
1673856000000,ETH/USDT,0,,
1673870400000,ETH/USDT,0,,
1673884800000,ETH/USDT,-1,,tp2_hit
1673899200000,ETH/USDT,0,,
1673913600000,ETH/USDT,0,,
1673928000000,ETH/USDT,0,,
1673942400000,ETH/USDT,0,,
1673956800000,ETH/USDT,1,swing_long,
1673971200000,ETH/USDT,-1,,tp3_hit
1673985600000,ETH/USDT,0,,
1674000000000,ETH/USDT,0,,
1674014400000,ETH/USDT,0,,
1674028800000,ETH/USDT,0,,
1674043200000,ETH/USDT,0,,
1674057600000,ETH/USDT,0,,
1674072000000,ETH/USDT,0,,
